id;name;surname;name_eng;surname_eng;patronymic;phone;inn
1;Fundamental;Movies;multi-byte;Underpass Planner Sports;visualize synthesize;995-792-2978 x3451;Berkshire Strategist
2;cross-platform;compressing Pass AGP;Keyboard;iterate parsing e-enable;Cambridgeshire Ville circuit;860-593-7544;withdrawal help-desk
3;Graphical User Interface Curve Towels;Swedish Krona;Mouse demand-driven Russian Federation;optical deliverables;SMTP payment;(889) 112-4158 x9555;Liberian Dollar
4;Spring Soft program;Handcrafted Rubber Salad Throughway Cheese;Djibouti Franc;plum application;maximize Home;373-799-1811;Frozen
5;Games Checking Account;Bedfordshire;Georgia systems composite;Cotton interface;Organic Massachusetts;643.408.6696 x814;seamless
6;Refined Borders;client-server;deposit;Tasty;withdrawal;658-777-9769 x8852;Shoes Checking Account
7;Handmade COM Somali Shilling;Managed Fantastic;payment Way;Mozambique;Falkland Islands Pound Ameliorated Handcrafted;1-821-799-3518;Borders Dynamic
8;ivory incubate;Checking Account Personal Loan Account Incredible;Gorgeous;functionalities;Fresh green PCI;1-892-534-7387;SSL transmitting
9;Tools;morph West Virginia;navigate;Nevada Fantastic Soft Sausages Soft;Awesome Frozen Bacon clicks-and-mortar;694-569-0387 x853;Lebanese Pound
10;Rustic Frozen Tuna Cambridgeshire;Car;Investment Account mobile red;pink New York;Buckinghamshire Money Market Account;700.466.1903 x99006;overriding tertiary bandwidth
